Категория;Анекдот
Вовочка;"Вовочка послал учительнице записку: ""Я Вас люблю"". Учительница в ответ: ""Терпеть не могу детей"". Тогда Вовочка посылает вторую записку: ""Гарантирую -- детей не будет!"""
Вовочка;Приходит Вовочка в первый класс. - А ты считать умеешь? - интересуется учительница. В: - Один, два, три, четыре, пять, шесть, семь... Училка: - А дальше знаешь? В: - ... восемь, девять, десять, валет, дама, король, туз...
Вовочка;Леночка ! Как летают утки ?! - Утки ? Утки летают косяками ! - Косяками ? Косяками - это пять ! Васенька ! Как ездят машины ?! - Машины ? Машины ездят на колесах ! - На колесах ? На колесах - это пять ! Вовочка ! Как пасутся коровы ? - Коровы ? Коровы пасутся на травке ! - На травке ? На травке - это пять ! Как твоя фамилия ? - Косячков ! - Косячков ? Косячков - это пять ! Пять, Косячков ! Пять косячков (пых,пых) - это зачет !
Вовочка;"На уроке биологии Марйя Ивановна спрашивает - Дети, у кого самые большие яица ? Миша - У курочки - Молодец !!! Аня- У пингвина ... - Ну может ... Вовочка тянет руку - Ну а ты как думаешь Вовочка ??? Вовочка- Самые большие яица у слона !!! - ;-Е Садись Вовочка - Два !!!! Вовочка- Да, Да Марья Ивановна, 2 таких больших ..."
Вовочка;Детский садик. Воспитательница загадывает детям загадку: - Два конца, два кольца, посередине гвоздик. Дети, кто знает, что это? Вовочка тянет руку: - Я знаю. Свадьба гомосексуалистов! - Вовочка... Как тебе не стыдно!!! И гвоздик откуда? - А это их пригвоздила социалистическая мораль!
Вовочка;Купил папа Вовочки мини-завод по производству колбасы, и учит его с ним обращаться: - Сюда засовываем барана, и получаем девять палок колбасы. Две отдаем государству, а семь оставляем себе. До тебя дошло ? Вовочка ? - Непонял. :-& - Сюда ложим барана, и отсюда вылазит девять палок колбасы. Две отдаем государству, а семь оставляем себе. Ты понял ?!?!? - Нет, А бывает такая машина только наоборот? - Да! Вовочка это твоя мама! :)
Вовочка;Учитильница жалуется Вовочкиному отцу: - Вы знаете, ваш сын ругается, дерется, ко всем пристает! - Ну Вовка! Я его убью на х#$й! Через неделю учительница звонит: - Вы знаете, Вовочка совсем разболтался - он вообще не появляется в школе! - А это я его убил на х#$й!
Вовочка;Приходит к Вовочке домой училка и жалуется отцу: - Ваш сын нарисовал на парте муху, так я убить пыталась- руку отбила :-( . Отец: - Енто ерунда он тут давеча крокодила в ванной нарисовал, так я через нарисованную дверь выскочил.
Вовочка;Разговаривает Вовочка (В) c Танечкой (Т) в школе: В: Что Танечка грустная такая? Т: Да вот, папа вчера из командировки приехал - суточные не привез :( В: Это что, у меня мама с отдыха вчера приехала - месячные не привезла...
Вовочка;В школе учительница знакомится с учениками,спрашивает как зовут,кто родители,etc. Встает Машенька,говорит: -Маша Иванова,папа русский,мама русская,я тоже русская. Встает Мойша и говорит: -А у меня папа еврей,мама еврейка,родился я в России,поэтому русский. Тут встает Вовочка(не шурин) и говорит : -Эт чож такое получается,у меня вот папа русский,мама русская,родился я в гараже,так я что, ЗиЛ-130 чтоли!!!!!
Вовочка;"Идет урок математики. Учительница спрашивает домашние задания. Ну что, Маша, кем работает твой папа? - Мой папа - милиционер. Сколько получает? - 100 тысяч рублей. А мама? - Мама у меня - инженер. Получает 50 тысяч рублей. Ну и сколько у вас бюджет семьи? - 150 тысяч . Молодец 5. Дошла очередь и до Вовочки. Ну папа у меня директор коммерческого магазина. Получает 7 миллионов. Мама у меня главный бухгалтер банка. Получает 5 миллионов. Бюджет семьи у нас 50 миллионов. - Садись Вовочка, Два! ""Да черт с ней, с двойкой. Зато как люди живем!!!!"""
Вовочка;"Маленькому Вовочке говорят: ""Вовочка, если ты не перестанешь матом ругаться, у тебя зубки не вырастут."", на что Вовочка, тыкая пальцем в молочный зуб отвечает: ""А это сто, х$#, столи?"""
Вовочка;Вовочка приходит к маме и говорит : - Мама, я хочу женится на Боре из соседнего подъезда Мама : - На Боре нельзя ! - Но мама, я люблю его - На Боре нельзя, ты опозоришь нас с папой по гроб жизни !! - Но мама, почему ? - Но ведь Боря еврей !!!
Вовочка;На уроке. Учительница: - Дети, вот я держу в руках кирпич. Что вы думаете, глядя на него? Леночка: - Я думаю о великом подвиге советских строителей! Женечка: - А я думаю о перспективах коммунистического строительства в нашей стране. Вовочка, - А я - о бабах. Учительница: - Вовочка, но почему? Вовочка: - А я о них всегда думаю.
Вовочка;"Учительница просит детей придумать предложение со словом АНАНАС. Маша: "" Ананасы растут в африке."" Учительница: "" Молодец Маша."" Миша: "" Папа купил в магазине ананас."" Учительница: "" Молодец."" Вовочка: "" А от нас папа ушел."" Учительница: "" ?!? А где же слово ананас?"" Вовочка: ""А_на_нас с мамой #@$ положил."""
Вовочка;Дети пришли на экскурсию в зоопарк. Стоят, разглядывают зверюшек. Вдруг какой-то козлик запрыгнул на козочку и начал ее иметь. Детишки увидали это, к учительнице подходит Машенька и спрашивает: - Марья Петровна, а зачем это козлик на козочку запрыгнул ? - А это он для того запрыгнул, чтобы лучше видеть травку, небо, птичек. Вовочка: - Марья Петровна ! А можно мне в-о-о-н ту птичку получше разлядеть ?
Вовочка;Вовочка потходит к папе и спрашивает: -Папа,а правда что на зиму все аисты улетают в тюплые страны? -Да сынок.А что? -А как же тагда я родился в январе?
Вовочка;Вовочка подбежал к огромному псу и стал гладить его пышный хвост. Мать в испуге кричит: - Что ты делаешь? Он же укусит тебя! - Нет, мама, с этого конца они не кусаются.
Вовочка;Мама кричит с балкона: - Вовочка, где ты? Нет ответа. Она зовет снова и снова, наконец из кустов раздается недовольный голос: - Ну, что? - Чем ты там занимаешься? - Машку трахаю! - Смотри, только не кури!
Вовочка;Вся семья сидит за столом. Обедают. Мать говорит сыну: - Вовочка, отдай кость папе, ты же не собака.
Вовочка;Учитель спрашивает учеников: - Какая личность, с которой вы столкнулись в течение учебного года, потрясла вас сильнее всего? - Меня - Наполеон. - Меня - Ганнибал. - Меня - Юлий Цезарь. - А меня, - сказал Вовочка, - мой отец, когда он увидел табель за первое полугодие.
Вовочка;- Вовочка, канарейка куда-то исчезла! - Странно, пять минут назад я ее пылесосил, и она была на месте.
Вовочка;Пятилетний Вова встречает маму у дверей и радостно сообщает: - Мамочка, а я твой новый парик на котеночка выменял.
Вовочка;Учительница спрашивает на уроке биологии: - Дети, какого цвета бывают яйца? - Серые, белые. Вовочка: - Синие. - Вовочка, у кого ты их видел? - У сторожа, когда он их дверью прищемил.
Вовочка;Когда Вовочку спросили, может ли он назвать пять самых счастливых лет в своей жизни, он ответил: - Конечно, это когда я учился в первом классе.
Вовочка;Вовочка сидит в песочнице и лепит кулички. Мимо проходит мужик и наступает на один. - Мужик, ты что ох...ел? Мужик повел Вовочку к маме и говорит: - Ваш сын матом ругается. Мама заставляет Вовочку извиниться. - Прости, мужик, х...ня получилась.
Вовочка;Бобик забрался на Жучку... Вовочка спрашивает у мамы: - Что это они делают? - Да, это Жучка Бобика катает... - (удрученно) Вот так всегда - кто везет, того %бут...
Вовочка;Учительница спрашивает: - Что такое плеоназм? (плеоназм - оборот речи, содержащий однозначные, часто излишние слова). Вовочка: - Это когда, например, папа с мамой занимаются любовью в спальне, а в это время по телевизору идет пикантный фильмец. В результате не знаешь, куда лучше смотреть.
Вовочка;Вовочка получил двойку. Отец подносит свой кулак ему под нос и говорит: - Чуешь, чем пахнет? - Опять у матери в .... ковырялся.
Вовочка;- Ты где научился так ругаться, Вова? - Этому нельзя научиться, это дар природы!
Вовочка;Из разговора мальчишек: - У меня нос отца, глаза матери, - заявляет один. - А у меня лоб дедушки, уши дяди, - сказал другой. - А у меня штаны брата, - похвастался Вовочка.
Вовочка;- Вовочка, что получится, если к четырем прибавить один? - Не зна-а-аю, Мария Ивановна. Ставьте двойку. - Ну вот посмотри. Берем четыре пальца, прибавляем еще один. Что получается? - А, понял! Получится фига!
Вовочка;Учительница спрашивает: - Вова, если в одном кармане брюк у тебя десять рублей, а в другом тридцать, что это значит? - Это значит, что я надел чужие брюки.
Вовочка;"Вовочка: - Как правильно пишется, Марьиванна: ""ананизм"" или ""ононизм""? Учительница: - Вова, откуда ты такие слова знаешь? - А че тут знать-то? У нас весь класс этим занимается. - И ты тоже?! - Я - не-е-е. У меня в 1-б баба есть."
Вовочка;Вовочка прибегает домой из школы. - Ой, че было, че было! Училка по труду шла по коридору, несла банку клея, споткнулась, клей разлила, поскользнулась, упала на клей и приклеилась к полу! - Ну, вы ее от пола-то отодрали? - Отодрали, отодрали! Кто посмелее - аж два раза!
Вовочка;Мать Вовочки - учителю: - Мой Вовочка - гений. У него столько гениальных идей, не правда ли? - Да, особенно когда дело доходит до уроков химии.
Вовочка;"Учитель: - Вовочка, назови повелительное наклонение глагола ""молчать"". - Ша!"
Вовочка;"- Дети, что значит: ""Я люблю, ты любишь, он любит?"" - спрашивает учительница. - Я думаю, - отвечает Вовочка, - что это такая ситуация, при которой один наверняка будет убит."
Вовочка;Соседка прибегает к отцу Вовочки. - Вы знаете, ваш сын в кустах козу пялит!!! - Как? Сегодня же четверг, моя очередь!
Вовочка;- Вовочка, открой скорее ротик и скажи а-а-а, чтобы этот злой и противный доктор смог наконец вытащить свой пальчик из твоих зубок!
Вовочка;Вовочка: - Говорят, что учиться зарабатывать надо с детских лет. Это про меня! Я делаю деньги с трех лет - тогда отец стал высылать на меня алименты.
Вовочка;"Учитель спрашивает маленького Вовочка: - Твой пиджак и чего сделан? - Из сукна. - Верно; а сукно из чего выделывается? - Из шерсти! - Молодец! А шерсть кто нам дает? - Овцы. - Умница! Значит, какое животное дало тебе пиджак? - Папа."
Вовочка;Мать: - И это мой родной сын?! Такой капризный и несносный мальчик! Вовочка: - Ты сама, мама, несносная! Да если бы я знал, что у тебя такой характер, то никогда бы не позволил папе жениться на тебе.
Вовочка;Вовочка - отцу: - Я вчера на улице нашел 200 рублей и отнес их в милицию. А что бы ты сделал на моем месте? - То же, что и ты. Соврал.
Вовочка;В школе идут занятия, и учительница объясняет разницу между ветром, зефиром, бризом, торнадо, пассатом, сирокко. Приводит пример: - Недавно я ехала в поезде, и когда портьера на окне слегка отклонилась, я почувствовала нежное, ласкательное прикосновение к щеке. Что это было? Вовочка поднял руку: - Поцелуй контролера, мадмуазель!
Вовочка;Вовочка приходит из школы с испуганным видом и говорит: - Мама, папа, я думаю, сегодня вам не стоит смотреть мой дневник. Мама хватается за сердце, пап за ремень, открывают дневник, а там - пятерка! Все в обмороке. Вовочка (грустно): - Вот этого-то я и боялся.
Вовочка;Учитель предупреждает учеников: - Никогда нельзя целовать животных. Это грозит различными заболеваниями. Кто может привести пример? - Я, - встал Вовочка, - вот моя тетя все время целовала своего попугая. - Ну и?.. - Попугай с ума сошел.
Вовочка;Проходят в школе на уроке пения композиторов. Вызвала учительница Вовочку. - Каких ты знаешь композиторов? А Вовочка не учил. Стоит и смотрит на товарища. Тот взял книгу, стукнул по парте. - Бах, - сказал Вовочка. - Правильно, - сказала учительница. Друг вырвал из тетради листок. - Лист, - сказал Вовочка. - Хорошо, еще, - просит учительница. - Членников, - говорит Вовочка. А учительница ему: - Не Членников, а Хренников, а ты, Петров, убери подсказку.
Вовочка;"Вовочка в ""Живом уголке"" вертит в руках курицу. Она орет, вырывается, кричит благим матом так, что крик слышен на всю школу7. Влетает в ""уголок"" ботаничка и в испуге спрашивает: - Что ты делаешь? - Как что, - спокойно отвечает Вовочка, - я ищу у нее эрогенные зоны."
Вовочка;Маме, приехавшей с курорта, Вовочка рассказывает, как весело они с папой жили целый месяц: - К нам каждый вечер приходила тетя Люда. Приносила мне конфеты, а папа угощал ее вином, а потом они делали то же, что и вы с дядей Колей, когда папа уезжал в командировку.
Вовочка;- Кого ты больше любишь, Вовочка, маму или папу? - папу. - Почему? - Его никогда нет дома.
Вовочка;- Вовочка, почему у тебя грязные руки? - спросила мама. - Потому что я ими только что мыл лицо.
Вовочка;Вовочка: - Папа, в школе сегодня родительское собрание, но только для самого узкого круга. - Для самого узкого круга? Как это понять? - Будут только учитель и ты.
Вовочка;- Скажи, Вовочка, какой предмет тебе больше всего нравится в школе? - Звонок, папа.
Вовочка;Учительница велела ученикам принести в школу медицинские инструменты, кто что может: ножницы, пинцет, шприц... Вовочка принес дыхательный аппарат. Учительница спрашивает: - Вовочка, где ты его взял? - У дедушки, - отвечает Вовочка. - А что он тебе сказал? - Ап-ап-ап...
Вовочка;Вовочка надевает резиновые сапоги. Мама ему говорит: - Вовочка, на улице сухо, грязи и луж нет. - А я найду, - весело отвечает он.
Вовочка;- Вовочка, не качайся на папе: не для того он повесился!
Вовочка;"Учительница спрашивает школьников: - Кто назовет женское имя с тремя буквами ""В""? Вовочка тянет руку: - Широкая задница! - Откуда ты взял?! Здесь же нет ни одной буквы ""В""! - Мы с папой вчера гуляли по улице и встретили вот такую широкую тетю. Папа оглянулся и все время говорил: ""Вай-вай-вай! Вай-вай-вай!"""
Вовочка;"Учительница спрашивает в классе: - Чем отличается жизнь до революции от той, что сейчас? Вовочка: - До революции говорили: ""Пшел вон!"" А теперь говорят: ""Приходите завтра!"""
Вовочка;Учитель: - Женщина смотрит из окна, какое это число? - Единственное, - отвечает Маша. - А что мы скажем, если три женщины смотрят из окна? - Это бордель, - ответил Вовочка.
Вовочка;"Учитель задал сочинение на тему: ""Если бы я был директором фирмы..."" Все старательно пишут, и только Вовочка смотрит в окно. - А ты почему не пишешь? - Ожидаю секретаршу!"
Вовочка;Маленький Вовочка не хочет спать. Отец садиться у его кроватки и начинает рассказывать ему сказки. Рассказывает час, другой. Наконец в комнате воцаряется тишина. Мать тихо приоткрывает дверь и спрашивает: - Он уснул? - Да, мама, - шепотом отвечает сын.
Вовочка;"Учительница обращается к ученикам: - Дети, назовите, каких вы знаете космонавтов? - Гагарин, Титов... - Правильно, а ты Вовочка кого хотел бы добавить? - Мои папа и мама. - Ты что-то путаешь. - Нет, не напутал. Я вчера ночью проснулся и слышу - папа маме говорит: ""Ну что, полетели?"" А мама отвечает: ""А ты скафандр одел?"" - ""Нет"". - ""Тогда полет отменяется""."
Вовочка;Выходит Вовочка на перемене из класса и глазами в стороны зырк-зырк. Видит - Маша-отличница у окошка стоит. - Ну что, - говорит ей, - пойдем любовью займемся? Заводит ее у туалет, ставит в стойку и, засунув руки в карманы, приступает Маша, видя такое дело, обижается: - Обманщик ты, Вовочка! Сказал, любовью займемся, а сам трахаешь, как корову. Ты бы меня хоть приласкал, что ли, а то руки в карманы засунул... - Ну уж нет!.. Вон на прошлой перемене Светку трахал - так она все фантики от жвачек из карманов повытащила!
Вовочка;Учительница на уроке литературы вызывает Вовочку к доске. - Вовочка, ты Пушкина знаешь? - Нет. - А Лермонтова знаешь? - Нет. - А Некрасова знаешь? - Нет. - Тогда садись, двойка, и пусть родители завтра зайдут в школу. После уроков Вовочка останавливает учительницу и говорит: - Ты Федьку Долговязова знаешь? - Нет. - А Тольку - Вырви Глаз? - Нет. - А Кольку Окурка? - Нет. - Так зачем ты на уроке меня своей бандой пугала?
Вовочка;Учитель объясняет ученикам правила хорошего тона: - По лестнице мужчина всегда идет перед дамой. А знает ли кто-нибудь из вас, почему? Руку поднимает Вовочка: - Потому что дама не знает, на каком этаже он живет.
Вовочка;Учительница спрашивает детей, у кого кем работают родители. Вовочка: - А моя мама проститутка! - Ах, как ты смеешь, иди к директору и расскажи о своем поступке! Директор был мужчина. Через некоторое время Вовочка входит в класс и что-то прячет за спиной. - Ну, что сказал директор? - Директор сказал, что все профессии важны, дал кулек конфет и записал домашний адрес.
Вовочка;Учительница: - Вовочка, почему ты опять опоздал? Вовочка: - Ну, Марья Ивановна, ну вы же сами говорили, что учиться никогда не поздно.
Вовочка;Вовочку принимают в пионеры: - Как учишься? - Хорошист! - Старшим помогаешь? - А как же... - А с кем ты живешь? Вовочка покраснел: - Да там, с одной...
Вовочка;Лежат папа, мама и Вовочка в кровати (Вовочка посередине). Папа пихает Вовочку и говорит: - Скажи маме, что папа приглашает ее покататься на паровозике. - Мама сказала, что не хочет. - Скажи маме, что папа еще раз приглашает ее покататься на паровозике. - Мама сказала, что все равно не хочет. Через некоторое время мама толкает Вовочку и говорит: - Скажи папе, что я согласна покататься с папой на паровозике. - Папа сказал, что он уже уехал на ручной дрезине.
Вовочка;Вовочка моется с мамой в бане и замечает у нее курчавый треугольник. - Что это такое, мамочка? - Это мочалка. - Ну, у папы лучше, та с ручкой, - по-хозяйки замечает Вовочка.
Вовочка;Как-то Вовочка спрашивает маму: - Мам, а как я на свет появился? - Ну, сынок, взяли мы с папой стакан. Он плюнул, я плюнула, поставили на окошко, а наутро ты появился. На следующий день в школе: - Тань, плюнь в стакан. - Да ты что, Вовочка? - Ну плюнь. - Тьфу. Вовочка тоже плюнул и поставил стакан на окно в своей комнате. Ночью в стакан упал таракан. Утром Вовочка со стаканом подходит к матери: - Мам, раздави внука - на сына рука не поднимается.
Вовочка;Вовочке на уроке задают вопрос на сообразительность: - Чем отличаются куст от преступника? Вовочка ответил: - Куст, сначала посадят, а потом он вырастет. А преступник сначала вырастет, а потом его посадят.
Вовочка;- Вовочка, где твой школьный дневник? - Его Колька взял. Родителей пугать будет.
Вовочка;Идет урок рисования, учительница деткам показывает картину на которой изображены пионеры и ветеран войны сидящие возле костра. Учительница: - Дети, кто сидит с пионерами возле костра? Маша, ответь пожалуйста... - Ветеран войны... - Правильно Маша, садись, пять... - Деки, а кто сидит рядом с ветераном возле костра? Ну вот ты Вовочка скажи нам... - Кастраты...
Вовочка;Вовочка спрашивает у Маши: - Маша, а ты горячая женщина? - Не знаю! Но когда я встаю с горшка - оттуда пар идет!
Вовочка;Вовочку поднимают на уроке географии: - Вовочка, расскажи нам про страны Ближнего Востока. Вовочка вдохновенно: - На Ближнем Востоке есть страна Еbипет... - Не Еbипет, Вовочка, а Египет! - Там водится большие еbемоты... - Да не еbемоты, а бегемоты!! - А еще там растет большое дерево еbобаб... - Не еbобаб, а бабоеb!!! Тьфу, зараза, опять запутал...
Вовочка;В первом классе идет урок математики. Сидят рядышком трое первоклассников и беседуют. Боря: - Я вчера на рынке мужикам двести баксов проиграл. На большой перемене нужно отдать, а то грохнут, а у меня денег нет ... Вася: - Это что, я вчера на мотоцикле бабку сбил, вот теперь думаю: то ли сейчас пойти сдаваться, то ли конца уроков подождать? Вовочка: - Эх, от меня соседка забеременела, вот теперь или жениться, или алименты платить?
Вовочка;К Вовочке домой приходит учительница. - Вовочка, позови своих родителей. - Не могу, они в ванной. - А скоро выйдут? - Не думаю, я им вместо вазелина БФ подсунул.
Вовочка;Идет в школе урок обществоведения. Учительница спрашивает учеников: - Какие существуют виды денег? Один ученик отвечает: - Металлические. Другой: - Бумажные. - Правильно, дети. Тут Вовочка тянет руку. - Еще деревянные бывают! - Это кто тебе такую чушь сказал? - А вот папа говорил, что наша соседка за две палки себе шубу купила...
Вовочка;"Разбор школьных сочинений. Сочинение Вовочки: ""Зима. Кругом белый снег. Река. Замерзла. На реке волки - еб..ся."" Учительница: - Вова, ну неудобно же... Вова: - Конечно неудобно - лапы-то разъезжаются."
Вовочка;На уроке Мария Ивановна спрашивает: - Дети, кто знает: почему аисты на зиму улетают в Африку? Вовочка тянет руку: - Чтобы и негры могли иметь детей.
Вовочка;Вовочка спрашивает: - Папа, а шестилетняя девочка может забеременеть? - Нет. - У-у-у, шантажистка!
Вовочка;Мама Вовочке: - Садись и расскажи мне какую-нибудь забавную историю. - Я не могу сесть. Дело в том, что я только что рассказал одну забавную историю папе.
Вовочка;"На уроке учительница: - Дети, назовите какой-нибудь цветок на буку ""П"". - Пион! - говорит Тенечка. - Половое сношение, - говорит Вовочка. - Но ведь это не цветок, - возмущается учительница. - Зато очень приятно, - говорит Вовочка."
Вовочка;Дети спрятались под кровать. Мама с папой пришли из кино. - Наверное, дети у бабушки, - говорит мама, - давай в постель, пока их нет. Вовочка шепотом Леночке: - Видишь, какие бесстыжие, одного делают, а двоих давят!
Вовочка;Катенька на уроке математики жалуется Вовочке: - Представляешь, залетела, не знаю даже от кого! - А я триппер подхватил, не знаю что и делать! Учительница заметила, что они разговаривают: - Ну-ка, Вовочка, сколько будет шестью восемь? - Сорок восемь, Марь Ивановна. - Мне бы ваши проблемы!
Вовочка;Вовочка останавливает машину: - Дядя, подвезите до школы. - Я еду в другую сторону. - Тем лучше.
Вовочка;В школе. - Вовочка, как используют куриный пух? - Не знаю. - Ну а на чем ты спишь? - На полу. - А на что голову кладешь? - На валенок. - А на чем родители опят? - На полу. - А на что головы кладут? - На валенки. - А на чем бабушка спит? - На печке. - А на что голову кладет? - На подушку. - Ну а в подушке-то, что пух? - А в подушке валенок.
Вовочка;Принесла учительница на урок рисования скульптуру обнаженной женщины. - Леночка, скажи, что тебе больше всего нравиться в этой скульптуре? - Плечи. Голова... - Молодец, садись. А тебе что, Сашенька? - Груди! - Выйди вон из класса! - А тебе Вовочка, что больше всего нравится? - Ухожу, ухожу, ухожу.
Вовочка;Вовочка говорит: - Мои родители мультиков боятся. Как мультики показывают, они меня к телевизору сажают, а сами залезают под одеяло и трясутся.
Вовочка;Вовочка возвращается с вечеринки домой. В прихожей своей квартиры долго шарит руками по стене. Подходит его мама: - Вовочка, что ты там ищешь? - Отстань. - Да ты мне скажи, что ты там ищешь? Может, я знаю. - ... вашу мать, стоило только из дома уйти, уже дверь замуровали.
Вовочка;"Вовочка спрашивает у мамы: - Мам, что за рыба ""маникюрша""? - Откуда ты взял, что это рыба? - Да папа звонил по телефону дяде Коле и рассказывал, что вчера на рыбалке всю ночь жарил маникюршу!"
Вовочка;"Вовочка идет с папой мимо здания с вывеской ""Вино"", около которого стоит толпа. - Папа, что это такое? - Это, Вовочка, ""Высший институт народного образования"". - А чего они все трясутся? - А у них с двух часов - экзамен."
Вовочка;Вовочка: - Папа, скажи, а как ловят сумасшедших? - С помощью пудры, красивых платьев и милых улыбок.
Вовочка;Вовочка вернулся с отцом с прогулки. Берет телефонную трубку и сообщает: - Папа, мама только что ушла, телефон еще горячий...
Вовочка;"На уроке математике учитель объясняет условие задачи: ""Лестница строящегося дома имеет пять пролетов, каждый из которых состоит из 20 ступенек. Сколько ступенек надо пройти, чтобы попасть на последний этаж? - Все, - отвечает Вовочка."
Вовочка;Учительница в школе: - Вы знаете, дети, что если кто-то плохо видит одним глазом, то другим, как правило, - гораздо лучше. Кто-нибудь может привести аналогичный пример? Поднимается Вовочка и говорит: - Если у кого-то одна нога короче другой, то другая обычно длиннее...
Вовочка;В прибалтийской школе идет урок. Учительница спрашивает: - Кто мне скажет, что означает красный цвет на нашем флаге? Янис, отвечай. Янис: - Красный цвет на нашем флаге означает кровь, пролитую народом в борьбе за независимость республики. Учитель: - Правильно. А кто скажет, что означает зеленый цвет на нашем флаге? Арвидас, говори. Арвидас: - Зеленый цвет на нашем флаге означает прекрасную природу нашей родины - ее леса, поля, сады... Учитель: - Верно. А кто скажет, что означает белый цвет на нашем флаге? Вовочка с задней парты (не вставая с места): - А белый цвет означает снег в Сибири, куда отправятся Янис и Арвидас, когда мы придем к власти...
Вовочка;В школе. Учительница: - Дети, кто придумает предложения со словами: тиски и кувалда. Петя: - Рабочий зажал заготовку в тиски и кувалдой бьет по заготовке. Учительница: - Молодец, Петя. Маша: - Кувалда это рабочий инструмент, с помощью которого можно в тисках сделать нужную деталь. Учительница: - Молодец, Маша. Вовочка: - А можно в стихах? Учительница: - Давай, Вова! - Если Вас поставить раком, - И зажать соски в тиски - &^нуть по ^&$де кувалдой - Разлетитесь на куски.
Вовочка;"Урок литературы. Учительнаца: - Дети, придумайте рифму со словами ""Если б я имел коня"". Машка: - Если б я имел коня - я б на нем каталася. Петька: - ... Вовочка: - Если б я имел коня - это был бы номер, Если б конь имел меня - я б наверно помер."
Вовочка;- Машенька, ты кем будешь на празднике? - Я белую шапочку с длинными ушками надену - зайчиком буду! - А ты Вовочка? - А я уже приготовил коричневый костюм. - ??? - Г. буду и испорчу всем праздник!
Вовочка;- Вовочка, а какую самую крупную рыбу ты знаешь? - Б&$#ь. - .....??????? - Да вот папа говорил, что поймал в отпуске б$#@ь, так потом целый месяц ее жарил!
Вовочка;Грузин устроился в школу работать учителем русского языка, стали писать диктант. Диктует: - Наступила осень. С дерева упал желтый лист. Вовочка: - А что такое желтый лист? Грузин: - Не знаю, птица, наверное.
Вовочка;Приходит Вовочка домой, а дома - все голые ходят. Подходит Вовочка к папе и спрашивает: - Папа, что это у тебя такое? - Чепуха, Вовочка - А у мамы что такое? - Чепуха, Вовочка - а у Лены - что? - чепуха, Вовочка Вовочка подумал, подумал и песенку придумал: А у папы чепуха на колесиках, А у мамы чепуха вся в волосиках, А у Лены чепуха белобрысая, А у Вовы чепуха - еще лысая.
